id;start_date;end_date;language
1;2025-04-16T14:55:59;2025-04-17T07:49:11;ENGLISH
2;2025-04-17T01:23:43;2025-04-16T12:59:04;ENGLISH
3;2025-04-16T14:14:23;2025-04-16T13:35:03;FRENCH
4;2025-04-16T22:28:56;2025-04-16T18:36:44;ENGLISH
5;2025-04-16T12:08:03;2025-04-17T07:08:13;FRENCH
6;2025-04-16T18:03:03;2025-04-17T08:03:22;FRENCH
7;2025-04-16T13:23:20;2025-04-16T17:10:03;ENGLISH
8;2025-04-17T04:22:58;2025-04-17T06:48:59;ENGLISH
9;2025-04-16T12:36:12;2025-04-16T20:53:35;SPANISH
10;2025-04-17T08:10:56;2025-04-17T03:42:17;FRENCH
